"","600435.SS.Open","600435.SS.High","600435.SS.Low","600435.SS.Close","600435.SS.Volume","600435.SS.Adjusted","600436.SS.Open","600436.SS.High","600436.SS.Low","600436.SS.Close","600436.SS.Volume","600436.SS.Adjusted","600438.SS.Open","600438.SS.High","600438.SS.Low","600438.SS.Close","600438.SS.Volume","600438.SS.Adjusted","600439.SS.Open","600439.SS.High","600439.SS.Low","600439.SS.Close","600439.SS.Volume","600439.SS.Adjusted","600444.SS.Open","600444.SS.High","600444.SS.Low","600444.SS.Close","600444.SS.Volume","600444.SS.Adjusted","600446.SS.Open","600446.SS.High","600446.SS.Low","600446.SS.Close","600446.SS.Volume","600446.SS.Adjusted","600448.SS.Open","600448.SS.High","600448.SS.Low","600448.SS.Close","600448.SS.Volume","600448.SS.Adjusted","600449.SS.Open","600449.SS.High","600449.SS.Low","600449.SS.Close","600449.SS.Volume","600449.SS.Adjusted","600452.SS.Open","600452.SS.High","600452.SS.Low","600452.SS.Close","600452.SS.Volume","600452.SS.Adjusted","600455.SS.Open","600455.SS.High","600455.SS.Low","600455.SS.Close","600455.SS.Volume","600455.SS.Adjusted","600456.SS.Open","600456.SS.High","600456.SS.Low","600456.SS.Close","600456.SS.Volume","600456.SS.Adjusted","600458.SS.Open","600458.SS.High","600458.SS.Low","600458.SS.Close","600458.SS.Volume","600458.SS.Adjusted","600459.SS.Open","600459.SS.High","600459.SS.Low","600459.SS.Close","600459.SS.Volume","600459.SS.Adjusted","600460.SS.Open","600460.SS.High","600460.SS.Low","600460.SS.Close","600460.SS.Volume","600460.SS.Adjusted","600461.SS.Open","600461.SS.High","600461.SS.Low","600461.SS.Close","600461.SS.Volume","600461.SS.Adjusted","600462.SS.Open","600462.SS.High","600462.SS.Low","600462.SS.Close","600462.SS.Volume","600462.SS.Adjusted","600463.SS.Open","600463.SS.High","600463.SS.Low","600463.SS.Close","600463.SS.Volume","600463.SS.Adjusted","600466.SS.Open","600466.SS.High","600466.SS.Low","600466.SS.Close","600466.SS.Volume","600466.SS.Adjusted","600467.SS.Open","600467.SS.High","600467.SS.Low","600467.SS.Close","600467.SS.Volume","600467.SS.Adjusted","600468.SS.Open","600468.SS.High","600468.SS.Low","600468.SS.Close","600468.SS.Volume","600468.SS.Adjusted","600469.SS.Open","600469.SS.High","600469.SS.Low","600469.SS.Close","600469.SS.Volume","600469.SS.Adjusted","600470.SS.Open","600470.SS.High","600470.SS.Low","600470.SS.Close","600470.SS.Volume","600470.SS.Adjusted","600475.SS.Open","600475.SS.High","600475.SS.Low","600475.SS.Close","600475.SS.Volume","600475.SS.Adjusted","600476.SS.Open","600476.SS.High","600476.SS.Low","600476.SS.Close","600476.SS.Volume","600476.SS.Adjusted","600477.SS.Open","600477.SS.High","600477.SS.Low","600477.SS.Close","600477.SS.Volume","600477.SS.Adjusted"
"2019-03-01",9.35,9.36,9.12,9.3,30661374,9.3,106.5,108.660004,105.580002,107.349998,5908010,106.790398,11.94,12.18,11.81,12,51769907,11.831164,3.44,3.47,3.37,3.41,17873215,3.359407,10.97,11.03,10.78,10.87,1638700,10.580287,19.200001,20.9,18.799999,20.9,116510761,20.9,6.07,6.09,5.9,5.99,8619329,5.99,8.63,9.17,8.59,8.93,26343044,8.282892,15.1714,15.2857,14.7286,14.9429,2937495,14.808168,24.15,24.35,23.610001,24.15,659503,24.15,19.959999,21.15,19.809999,21.15,13895033,20.88615,8.72,8.75,8.5,8.68,5846211,8.606618,13.5415,13.5415,13.5415,13.5415,0,13.412534,11.32,11.35,10.96,11.2,36658552,11.170699,5.89,5.89,5.8,5.88,6120306,5.721585,2.28,2.33,2.26,2.32,22325263,2.32,7.85,7.98,7.8,7.98,3882004,7.965049,6.27,6.31,6.19,6.26,20778844,6.009985,2.89,2.93,2.86,2.9,18695273,2.885665,4.15714,4.15714,4.08571,4.14286,7300370,4.14286,4.5,4.54,4.45,4.49,3603347,4.426791,4.21,4.25,4.14,4.21,12085778,4.21,9.81,9.96,9.73,9.86,5437006,9.666831,14.63,14.66,14.33,14.6,3913993,14.6,3.53333,3.60833,3.5,3.575,24814444,3.395821
"2019-03-04",9.32,9.64,9.25,9.46,56873051,9.46,109.400002,109.43,106.379997,106.989998,9052896,106.432274,12.16,12.23,11.73,11.93,91622581,11.76215,3.43,3.5,3.41,3.43,32676809,3.37911,10.9,11.12,10.85,10.99,2592491,10.697088,21,22.99,20.299999,21.57,134977749,21.57,5.99,6.3,5.99,6.11,13934676,6.11,8.97,9.15,8.9,9.02,23661622,8.366371,14.9929,16.0214,14.9929,15.7357,6946542,15.593821,24.27,24.84,24.15,24.469999,623889,24.469999,21.799999,22.17,21.040001,21.4,18323513,21.13303,8.73,8.95,8.65,8.82,11674813,8.745433,15.2,16.370001,14.81,15.63,42957388,15.481143,11.77,11.79,11.35,11.47,84963843,11.439994,5.9,5.99,5.87,5.92,10968642,5.760507,2.33,2.37,2.3,2.33,29446470,2.33,8.05,8.15,7.95,7.98,7697751,7.965049,6.32,6.57,6.28,6.35,58106227,6.09639,2.93,3.02,2.92,2.95,44870231,2.935418,4.15,4.33571,4.14286,4.27857,16137380,4.27857,4.5,4.63,4.49,4.51,4561966,4.44651,4.15,4.29,4.15,4.24,19640183,4.24,9.85,10.16,9.85,9.96,7583715,9.764873,14.75,15.18,14.61,14.9,8091469,14.9,3.575,3.69167,3.55833,3.6,36650949,3.419568
"2019-03-05",9.4,9.84,9.3,9.75,57639849,9.75,106,107.5,105.190002,106.959999,5521966,106.402435,11.9,12.08,11.68,11.99,61261392,11.821305,3.43,3.77,3.41,3.77,50411430,3.714065,11.06,11.28,10.9,11.25,4032648,10.950158,20.9,22.450001,20.620001,21.889999,86490829,21.889999,6.11,6.72,6.08,6.67,20604218,6.67,8.91,9.1,8.87,9.09,14136087,8.431298,15.8429,15.9643,15.5143,15.9,5091934,15.756639,24.49,25.290001,24.219999,25.139999,605132,25.139999,21.059999,21.690001,20.85,21.540001,9979851,21.271284,8.8,9.18,8.65,9.13,11674496,9.052814,15.31,15.69,15.12,15.68,24107304,15.530667,11.47,11.47,11.47,11.47,0,11.439994,5.91,5.98,5.85,5.98,11476351,5.818891,2.32,2.35,2.29,2.34,22958082,2.34,7.97,8.18,7.91,8.17,5805393,8.154694,6.55,6.87,6.5,6.79,61776762,6.518817,2.97,3,2.92,2.99,28866246,2.975221,4.27143,4.45714,4.20714,4.42143,15476420,4.42143,4.51,4.51,4.51,4.51,0,4.44651,4.24,4.37,4.18,4.37,23547089,4.37,9.9,10.3,9.81,10.2,5549919,10.00017,14.88,15.31,14.71,15.3,8398413,15.3,3.58333,3.65833,3.55833,3.64167,29498821,3.459149
"2019-03-06",9.75,9.77,9.51,9.69,50573679,9.69,106.970001,107.300003,104.410004,105.75,6581343,105.198738,11.98,12.11,11.68,11.83,60190091,11.663556,3.75,4.13,3.7,3.94,66253947,3.881543,11.29,11.48,11.1,11.42,2640848,11.115628,21.450001,24.08,21.23,24.08,129896221,24.08,6.69,6.77,6.41,6.59,16143841,6.59,9.1,9.17,8.98,9.17,19467310,8.505501,16.007099,16.0714,15.5357,15.7143,5093048,15.572614,25.190001,25.98,25.190001,25.799999,816721,25.799999,21.42,21.98,21.23,21.67,9812823,21.399662,9.1,9.15,8.92,9.1,11049977,9.023067,15.58,15.8,15.32,15.62,22341632,15.471238,13,13.18,12.46,12.67,129995146,12.636854,6,6.03,5.93,6,17124229,5.838352,2.34,2.46,2.34,2.43,33870522,2.43,8.33,8.5,8.12,8.31,5964983,8.294431,6.86,6.95,6.58,6.85,47084315,6.576421,2.99,3.04,2.96,3.04,39658071,3.024973,4.41429,4.67143,4.38571,4.66429,18717916,4.66429,5.11,5.31,5.04,5.2,21184003,5.126796,4.36,4.5,4.32,4.48,24656703,4.48,10.16,10.58,10.05,10.41,6657963,10.206056,15.6,15.64,14.98,15.35,7990934,15.35,3.66667,3.8,3.65833,3.76667,48763898,3.577884
"2019-03-07",9.64,9.98,9.56,9.7,49913052,9.7,106.400002,106.400002,101.800003,103.169998,7817890,102.632187,11.83,11.85,11.34,11.48,61667757,11.31848,3.94,3.94,3.78,3.88,40419978,3.822433,11.4,11.61,11.23,11.52,2121941,11.212963,24.66,26.49,24,26.41,117425447,26.41,6.52,6.69,6.42,6.6,12203666,6.6,9.19,9.2,9,9.09,15906257,8.431298,15.5,15.7571,15.35,15.4786,4666568,15.339039,25.790001,26.139999,25.389999,25.889999,871362,25.889999,21.4,22.450001,20.959999,22.030001,12976115,21.755171,9.1,9.17,8.93,9.09,10352488,9.013151,15.36,16.620001,15.15,16.58,37016440,16.422094,12.41,13.05,12.35,12.78,96793935,12.746566,6,6.12,5.97,6.09,15458666,5.925927,2.42,2.55,2.42,2.55,39404119,2.55,8.33,8.6,8.18,8.46,7242002,8.44415,6.78,6.84,6.64,6.72,30791948,6.451612,3.04,3.2,3.01,3.15,56537678,3.13443,4.64286,4.82857,4.57857,4.78571,21108988,4.78571,5.09,5.19,4.99,5.07,14486907,4.998626,4.46,4.61,4.44,4.59,22316998,4.59,10.39,10.59,10.25,10.46,6185445,10.255076,15.36,15.95,15.15,15.7,11305195,15.7,3.76667,4.08333,3.70833,3.975,62560578,3.775772
"2019-03-08",9.47,10.45,9.26,9.72,86651316,9.72,101.300003,104.589996,100.110001,100.849998,6179516,100.32428,11.41,11.85,11.22,11.34,53949485,11.18045,3.78,3.86,3.59,3.59,33812635,3.536736,11.44,11.47,10.81,10.87,2056111,10.580287,23.77,25.6,23.77,23.77,99854044,23.77,6.47,6.57,6.27,6.36,11483401,6.36,8.98,8.98,8.45,8.48,17339972,7.8655,15.0929,15.1286,14.4571,14.6071,6602489,14.475396,25.77,25.780001,24.73,24.75,968917,24.75,21.08,21.690001,20.799999,20.82,13843824,20.560266,8.93,8.93,8.5,8.51,11799035,8.438055,15.96,16.299999,15.49,15.5,24633731,15.352381,12.83,14.06,12.83,14.06,120982258,14.023218,6.02,6.06,5.85,5.86,17499403,5.702124,2.54,2.56,2.42,2.42,43539408,2.42,8.33,8.33,7.65,7.72,6961102,7.705536,6.59,6.63,6.25,6.25,43433091,6.000384,3.1,3.14,2.94,2.94,38216561,2.925468,4.75714,4.85,4.42857,4.47143,16405639,4.47143,5,5,4.61,4.66,11441823,4.594398,4.48,4.52,4.2,4.24,25761962,4.24,10.18,10.32,9.89,9.93,6031129,9.73546,15.3,16.799999,15.02,15.48,13972476,15.48,3.84167,4.125,3.84167,3.86667,63236936,3.672872
"2019-03-11",9.81,10.49,9.76,10.25,73524617,10.25,101.699997,104,101.040001,103.900002,4838854,103.358391,11.32,12.47,11.31,12.47,109032165,12.294552,3.64,3.77,3.61,3.74,26671496,3.68451,10.86,11.28,10.86,11.26,1961811,10.959892,23.23,24.24,21.709999,23.309999,70958118,23.309999,6.36,7,6.27,7,20160095,7,8.55,8.82,8.55,8.82,10600049,8.180863,14.6071,16.0714,14.6071,16.0714,8657591,15.926494,24.98,26,24.530001,25.9,676611,25.9,20.66,21.549999,20.66,21.5,8167648,21.231783,8.54,8.87,8.5,8.86,9437788,8.785095,15.51,15.89,15.18,15.83,17047857,15.679238,15.47,15.47,14.11,14.49,213189532,14.452092,5.86,6.03,5.85,6.03,10468347,5.867544,2.34,2.42,2.3,2.41,34953498,2.41,7.72,7.72,7.72,7.72,0,7.705536,6.22,6.39,6.15,6.36,28381592,6.105991,2.96,3.07,2.94,3.06,37476804,3.044874,4.54286,4.92143,4.47143,4.92143,22667657,4.92143,4.66,4.83,4.63,4.78,6512805,4.712709,4.24,4.24,4.24,4.24,0,4.24,9.92,10.27,9.92,10.25,3626596,10.049191,15.71,16.27,15.12,15.95,10679802,15.95,3.875,4.00833,3.83333,4.00833,42475131,3.807432
"2019-03-12",10.3,11.1,10.13,10.8,91066127,10.8,105.010002,105.629997,102.349998,103.050003,5069287,102.512817,12.47,12.95,12.35,12.61,80772930,12.432582,3.79,3.83,3.69,3.8,26581393,3.74362,11.27,11.59,11.12,11.44,2469990,11.135094,23.57,25.34,23.5,24.01,81808617,24.01,7.4,7.55,7,7.13,21764921,7.13,8.86,9.05,8.77,8.95,12063624,8.301442,16.735701,17.6786,16.735701,17.3571,12383187,17.200602,25.969999,27,25.75,26.440001,900001,26.440001,21.6,22,21.290001,21.49,9278972,21.221909,8.9,9.12,8.84,8.94,11501564,8.864419,15.55,16.25,15.52,15.93,31566094,15.778286,14.69,15.94,14.25,15.94,192026680,15.898299,6.04,6.1,5.95,6.06,14510668,5.896735,2.42,2.48,2.36,2.4,32308000,2.4,8.7,8.95,8,8.55,10170347,8.533981,6.42,6.72,6.41,6.57,36857526,6.307604,3.07,3.27,3.07,3.26,72171872,3.243886,5.14286,5.27143,4.67143,4.85,29444762,4.85,4.8,4.86,4.73,4.81,8555615,4.742287,4.82,4.91,4.48,4.59,39430940,4.59,10.35,10.54,10.27,10.52,5252411,10.313902,15.79,16.540001,15.78,16.200001,11697288,16.200001,4.025,4.4,4.025,4.15833,63112431,3.949914
"2019-03-13",10.78,11.28,10.22,10.42,84890912,10.42,103,104.279999,102.150002,102.610001,3771417,102.075111,12.49,12.74,12.1,12.63,47338633,12.452301,3.81,3.82,3.69,3.73,23883308,3.674659,11.52,11.72,11.14,11.2,2032871,10.901491,24.540001,24.540001,21.700001,22.299999,66860235,22.299999,7.1,7.28,7.02,7.14,11137321,7.14,8.98,9.08,8.83,8.96,11613865,8.310718,17.3571,17.5714,16.3214,16.471399,9478763,16.322887,26.610001,26.969999,25.4,25.65,916700,25.65,21.700001,22.18,21.34,21.51,10313839,21.241657,8.96,9.38,8.88,9,14957547,8.923912,15.91,15.91,15.03,15.11,24665960,14.966095,16.4,17.530001,16.190001,16.93,279535344,16.88571,6.05,6.27,6.01,6.11,15727934,5.945388,2.41,2.43,2.28,2.3,29799086,2.3,8.84,9.41,8.66,9.2,19753647,9.182763,6.58,6.98,6.51,6.86,66249588,6.586021,3.27,3.31,3,3.1,74066667,3.084677,4.85,4.96428,4.63571,4.67857,16651724,4.67857,4.82,4.83,4.66,4.69,5673150,4.623976,4.6,4.64,4.46,4.49,23569881,4.49,10.49,10.78,10.36,10.51,5515464,10.304097,16.1,16.16,14.91,15.22,9052428,15.22,4.15833,4.29167,4.05,4.075,47567428,3.87076
"2019-03-14",10.21,10.45,9.64,9.98,55637848,9.98,102.540001,104.410004,102.410004,103.190002,4489747,102.652092,12.6,13.06,12.33,12.49,65817252,12.31427,3.71,3.73,3.49,3.58,23190100,3.526884,11.07,11.33,10.83,10.95,1467400,10.658154,21.120001,21.879999,20.299999,21.02,53218235,21.02,7.13,7.13,6.65,6.72,13383884,6.72,8.99,9.71,8.98,9.41,41606242,8.728109,16.6071,16.8929,15.5,15.8357,6037684,15.692919,25.799999,26.190001,24.77,25.309999,644191,25.309999,21.33,21.719999,20.49,20.82,7947677,20.560266,8.95,9.09,8.66,8.79,9044702,8.715688,15.09,15.6,14.66,14.81,19188805,14.668953,16.93,16.93,16.93,16.93,0,16.88571,6.05,6.08,5.88,5.93,9774103,5.770237,2.28,2.32,2.19,2.2,28790041,2.2,8.74,8.79,8.28,8.28,12492771,8.264486,6.78,6.98,6.6,6.68,30482965,6.41321,3.08,3.12,2.85,2.89,50298447,2.875715,4.61428,4.72143,4.39286,4.5,12313268,4.5,4.69,4.72,4.5,4.56,4791682,4.495806,4.51,4.63,4.35,4.41,14759593,4.41,10.4,10.45,10,10.06,4068592,9.862913,15,15.12,14.11,14.25,5645510,14.25,4.06667,4.06667,3.79167,3.88333,40277560,3.688697
