"","600478.SS.Open","600478.SS.High","600478.SS.Low","600478.SS.Close","600478.SS.Volume","600478.SS.Adjusted","600479.SS.Open","600479.SS.High","600479.SS.Low","600479.SS.Close","600479.SS.Volume","600479.SS.Adjusted","600480.SS.Open","600480.SS.High","600480.SS.Low","600480.SS.Close","600480.SS.Volume","600480.SS.Adjusted","600481.SS.Open","600481.SS.High","600481.SS.Low","600481.SS.Close","600481.SS.Volume","600481.SS.Adjusted","600482.SS.Open","600482.SS.High","600482.SS.Low","600482.SS.Close","600482.SS.Volume","600482.SS.Adjusted","600483.SS.Open","600483.SS.High","600483.SS.Low","600483.SS.Close","600483.SS.Volume","600483.SS.Adjusted","600485.SS.Open","600485.SS.High","600485.SS.Low","600485.SS.Close","600485.SS.Volume","600485.SS.Adjusted","600486.SS.Open","600486.SS.High","600486.SS.Low","600486.SS.Close","600486.SS.Volume","600486.SS.Adjusted","600487.SS.Open","600487.SS.High","600487.SS.Low","600487.SS.Close","600487.SS.Volume","600487.SS.Adjusted","600488.SS.Open","600488.SS.High","600488.SS.Low","600488.SS.Close","600488.SS.Volume","600488.SS.Adjusted","600489.SS.Open","600489.SS.High","600489.SS.Low","600489.SS.Close","600489.SS.Volume","600489.SS.Adjusted","600490.SS.Open","600490.SS.High","600490.SS.Low","600490.SS.Close","600490.SS.Volume","600490.SS.Adjusted","600491.SS.Open","600491.SS.High","600491.SS.Low","600491.SS.Close","600491.SS.Volume","600491.SS.Adjusted","600493.SS.Open","600493.SS.High","600493.SS.Low","600493.SS.Close","600493.SS.Volume","600493.SS.Adjusted","600495.SS.Open","600495.SS.High","600495.SS.Low","600495.SS.Close","600495.SS.Volume","600495.SS.Adjusted","600496.SS.Open","600496.SS.High","600496.SS.Low","600496.SS.Close","600496.SS.Volume","600496.SS.Adjusted","600497.SS.Open","600497.SS.High","600497.SS.Low","600497.SS.Close","600497.SS.Volume","600497.SS.Adjusted","600498.SS.Open","600498.SS.High","600498.SS.Low","600498.SS.Close","600498.SS.Volume","600498.SS.Adjusted","600499.SS.Open","600499.SS.High","600499.SS.Low","600499.SS.Close","600499.SS.Volume","600499.SS.Adjusted","600500.SS.Open","600500.SS.High","600500.SS.Low","600500.SS.Close","600500.SS.Volume","600500.SS.Adjusted","600501.SS.Open","600501.SS.High","600501.SS.Low","600501.SS.Close","600501.SS.Volume","600501.SS.Adjusted","600502.SS.Open","600502.SS.High","600502.SS.Low","600502.SS.Close","600502.SS.Volume","600502.SS.Adjusted","600503.SS.Open","600503.SS.High","600503.SS.Low","600503.SS.Close","600503.SS.Volume","600503.SS.Adjusted","600505.SS.Open","600505.SS.High","600505.SS.Low","600505.SS.Close","600505.SS.Volume","600505.SS.Adjusted","600506.SS.Open","600506.SS.High","600506.SS.Low","600506.SS.Close","600506.SS.Volume","600506.SS.Adjusted"
"2019-03-01",5.37,5.4,5.03,5.14,30880591,5.14,9.32,9.34,9.02,9.15,7569328,8.325364,9.23343,9.26335,9.07389,9.21349,4619854,8.964812,4.06,4.1,4.02,4.06,10090453,3.940588,25.299999,25.51,24.709999,25.34,3962268,25.34,9.24,9.35,9.15,9.35,4274621,8.806615,14.6,14.6,14.6,14.6,0,14.6,47.07,48.119999,46.5,48.049999,2440354,47.285206,21.809999,21.950001,21.450001,21.799999,35879884,21.593691,4.45,4.47,4.35,4.42,16023998,4.325459,8.6,8.7,8.57,8.66,36176189,8.641691,5.72,5.75,5.55,5.64,39990321,5.64,7.34,7.37,7.19,7.29,19602266,7.225582,6.45,6.49,6.38,6.43,4830040,6.388516,5.3,5.31,5.12,5.22,26295966,5.205986,3.15,3.17,3.13,3.17,16660407,3.156489,5.37,5.4,5.22,5.36,57636943,5.102183,32.880001,32.98,32.150002,32.610001,22624767,32.197983,5.47,5.47,5.31,5.4,11425167,5.4,5.96154,5.99231,5.83846,5.97692,22648382,5.857381,7.45,7.51,7.29,7.47,8453496,7.47,4.2,4.24,4.14,4.21,13287490,4.074775,4.01,4.03,3.88,3.96,33570372,3.95487,6.75,6.9,6.61,6.89,8464376,6.84092,11.16,11.56,11.08,11.26,2497398,11.26
"2019-03-04",5.11,5.24,5.03,5.12,34846606,5.12,9.17,9.37,9.16,9.19,8802865,8.361759,9.25338,9.46278,9.20352,9.29326,9223118,9.04243,4.09,4.28,4.08,4.22,26124927,4.095882,25.49,25.879999,25.01,25.549999,6613589,25.549999,9.35,9.47,9.26,9.34,7967580,8.797195,14.6,14.6,14.6,14.6,0,14.6,47.880001,48.84,47.32,47.52,2730325,46.763645,22.43,22.65,21.870001,21.98,80776927,21.771986,4.45,4.53,4.4,4.45,14642882,4.354817,8.52,8.92,8.51,8.87,78885908,8.851247,5.65,5.9,5.62,5.78,71227085,5.78,7.37,7.64,7.36,7.49,35746676,7.423814,6.45,6.57,6.42,6.44,8641411,6.398452,5.27,5.68,5.2,5.42,62349375,5.405449,3.19,3.24,3.17,3.19,36665555,3.176404,5.43,5.55,5.37,5.45,94278611,5.187854,33,33.919998,32.41,32.700001,54509893,32.286846,5.47,5.63,5.4,5.5,26049750,5.5,6,6.13077,5.93077,5.97692,39440172,5.857381,7.48,7.76,7.46,7.69,14630849,7.69,4.23,4.4,4.21,4.29,38757651,4.152205,4,4.13,3.99,4.05,57799201,4.044754,6.99,7.37,6.99,7.15,11899413,7.099069,11.23,11.7,11.15,11.62,4532610,11.62
"2019-03-05",5.1,5.18,5.08,5.18,22679528,5.18,9.17,9.35,9.13,9.32,5630163,8.480042,9.29326,9.732,9.23343,9.732,12322838,9.469329,4.22,4.25,4.16,4.24,15224703,4.115294,25.57,25.690001,25.32,25.6,4593295,25.6,9.29,9.64,9.29,9.57,9017007,9.013829,14.6,14.6,14.6,14.6,0,14.6,47.529999,47.77,46.16,47.400002,4193963,46.645554,22.059999,22.559999,21.809999,22.559999,67170565,22.346498,4.42,4.5,4.4,4.5,10826377,4.403748,8.78,8.81,8.68,8.8,50436047,8.781395,5.76,5.99,5.69,5.97,81236833,5.97,7.48,7.96,7.38,7.81,37566045,7.740987,6.39,6.56,6.38,6.55,7384469,6.507742,5.35,5.51,5.35,5.51,56918985,5.495208,3.19,3.22,3.16,3.22,27111511,3.206275,5.36,5.47,5.25,5.46,80603773,5.197373,32.700001,33.66,32.330002,33.639999,43338075,33.21497,5.55,5.8,5.43,5.8,28584488,5.8,6.00769,6.19231,5.98461,6.15385,41798736,6.030773,7.69,8.18,7.67,8.13,14560398,8.13,4.27,4.39,4.25,4.38,32249627,4.239315,4.05,4.05,4.05,4.05,0,4.044754,7.28,7.29,6.9,7.05,11571883,6.999781,11.45,12,11.45,11.93,3797418,11.93
"2019-03-06",5.18,5.35,5.15,5.28,38875867,5.28,9.36,9.61,9.31,9.6,9898097,8.734809,9.77189,9.82174,9.47275,9.72203,9906362,9.459627,4.25,4.34,4.22,4.33,16876397,4.202647,25.59,25.99,25.280001,25.549999,5438026,25.549999,9.58,9.66,9.47,9.62,7267571,9.060923,14.6,14.6,14.6,14.6,0,14.6,47.099998,48.5,46.900002,48.419998,4355683,47.649319,22.84,23.219999,22.129999,22.48,68385895,22.267256,4.5,4.58,4.45,4.58,15463629,4.482037,8.82,9.13,8.76,9.08,95736975,9.060803,6.08,6.11,5.84,6.02,96658493,6.02,8.02,8.13,7.71,7.87,34381164,7.800457,6.62,6.84,6.52,6.77,13403350,6.726323,5.47,5.69,5.41,5.67,61723904,5.654778,3.23,3.31,3.21,3.3,46737046,3.285934,5.47,5.65,5.46,5.55,109803737,5.283044,33.810001,34.23,32.880001,33.380001,41907231,32.958256,5.8,6.2,5.63,5.96,49162546,5.96,6.16154,6.22308,6.09231,6.17692,34088134,6.053381,8.08,8.24,7.91,8.21,12925812,8.21,4.41,4.46,4.29,4.45,37147868,4.307066,4.69,4.91,4.62,4.91,190515755,4.90364,6.96,7.04,6.8,7,8950703,6.950137,11.9,12.09,11.71,11.95,4194144,11.95
"2019-03-07",5.29,5.56,5.23,5.42,41005380,5.42,9.58,9.79,9.52,9.63,8773352,8.762105,9.72203,10.0611,9.62232,9.9414,11903984,9.673076,4.32,4.36,4.24,4.3,20873470,4.17353,25.65,26.360001,25.51,25.549999,10000905,25.549999,9.63,9.71,9.48,9.56,6723675,9.004411,14.6,14.6,14.6,14.6,0,14.6,48.200001,49.299999,46.709999,48.990002,6257597,48.210247,22.299999,22.299999,21.709999,22,74865600,21.791798,4.62,4.72,4.56,4.65,16375685,4.550539,9,9.2,8.93,9.09,88736188,9.070783,5.99,6.45,5.91,6.14,96418236,6.14,7.82,8.1,7.77,7.88,28448128,7.810369,6.79,6.91,6.71,6.81,9534633,6.766065,5.64,5.74,5.53,5.64,50523682,5.624859,3.32,3.41,3.28,3.36,49473370,3.345679,5.5,6.07,5.41,5.71,145860041,5.435349,33,33,31.84,32.369999,50277353,31.961014,6,6.09,5.87,5.93,27936145,5.93,6.17692,6.26154,6.09231,6.18462,36346495,6.060927,8.21,8.21,8.21,8.21,0,8.21,4.47,4.58,4.41,4.51,39403716,4.365139,4.99,5.37,4.82,5.07,185033811,5.063433,6.94,7.01,6.87,6.95,7216382,6.900493,12.02,12.31,11.82,12.1,4545402,12.1
"2019-03-08",5.25,5.43,5.06,5.07,37280761,5.07,9.33,9.7,9.28,9.28,8568989,8.443647,9.82174,9.9414,9.39298,9.40295,11435912,9.149159,4.25,4.39,4.14,4.17,23980737,4.047353,25.02,25.299999,24.049999,24.059999,8495451,24.059999,9.48,9.48,9.04,9.05,7906448,8.52405,14.6,14.6,14.6,14.6,0,14.6,48.009998,49.23,46.919998,47.049999,3701088,46.301125,21.5,23.110001,21.200001,21.959999,98727052,21.752176,4.6,4.6,4.35,4.43,15493420,4.335245,9.08,9.09,8.69,8.69,76853632,8.671627,5.98,5.99,5.53,5.56,80965602,5.56,7.66,7.8,7.24,7.31,27394977,7.245405,6.73,6.96,6.56,6.56,10669916,6.517677,5.51,5.51,5.12,5.16,48548443,5.146147,3.26,3.34,3.13,3.14,40168442,3.126616,5.57,5.64,5.19,5.21,115197006,4.959399,31.700001,33.459999,31.25,32.290001,50910497,31.882027,5.91,6.02,5.78,5.89,29167408,5.89,6.09231,6.13846,5.9,5.91538,33786788,5.797072,8.81,8.81,8.24,8.24,25254985,8.24,4.42,4.46,4.25,4.25,33828324,4.11349,4.93,5.35,4.72,4.85,150928679,4.843718,6.94,6.94,6.47,6.59,9106336,6.543057,11.79,11.9,11.1,11.13,4754819,11.13
"2019-03-11",5.11,5.32,5.07,5.31,27110190,5.31,9.25,9.58,9.25,9.56,7563356,8.698414,9.35309,9.74197,9.35309,9.74197,7230179,9.479029,4.17,4.17,4.17,4.17,0,4.047353,24.16,24.620001,23.879999,24.1,11324883,24.1,9.1,9.52,9.09,9.51,6632643,8.957317,14.6,14.6,14.6,14.6,0,14.6,47.099998,49.48,47.080002,49.43,3420346,48.643242,22.42,23.5,22.16,23.459999,101205848,23.23798,4.43,4.58,4.42,4.58,8852369,4.482037,8.69,8.77,8.6,8.75,48691556,8.731501,5.56,5.78,5.56,5.76,44977815,5.76,7.47,7.65,7.39,7.63,21856581,7.562578,6.56,6.83,6.56,6.82,8093391,6.776,5.17,5.4,5.17,5.4,25926743,5.385503,3.16,3.29,3.14,3.28,30244462,3.26602,5.2,5.37,5.19,5.35,62365809,5.092664,32.41,33.799999,32.41,33.52,46254823,33.096485,5.81,5.99,5.78,5.95,24201560,5.95,5.99231,6.17692,5.93846,6.17692,27294898,6.053381,8.24,8.55,8.08,8.42,14075896,8.42,4.28,4.37,4.26,4.37,19078989,4.229636,5.02,5.14,4.82,4.91,79403905,4.90364,6.59,7.25,6.59,7.25,14772758,7.198356,11.36,12.24,11.22,12.24,5064472,12.24
"2019-03-12",5.35,5.48,5.26,5.43,33553184,5.43,9.6,9.82,9.5,9.71,8983869,8.834895,9.75194,10.1707,9.75194,10.1707,16211422,9.896188,4.17,4.17,4.17,4.17,0,4.047353,24.34,25.4,23.98,25.110001,16690939,25.110001,9.64,9.7,9.44,9.59,7199236,9.032667,14.6,14.6,14.6,14.6,0,14.6,49.400002,51.490002,49.099998,51.200001,3616697,50.385071,22.940001,23.57,22.68,23.09,114246417,22.871483,4.59,4.72,4.53,4.62,11393055,4.521181,8.68,8.85,8.66,8.77,59316116,8.751459,5.79,5.93,5.72,5.81,57003872,5.81,7.63,7.82,7.62,7.76,27900768,7.691429,6.85,7.11,6.79,7.02,12708249,6.97471,5.45,5.54,5.36,5.46,35288834,5.445342,3.3,3.51,3.28,3.34,47939481,3.325764,5.38,5.47,5.25,5.36,69048564,5.102183,33.580002,33.740002,32.709999,33.299999,55610077,32.879265,6.03,6.25,5.96,6.1,32758806,6.1,6.19231,6.33846,6.13077,6.2,32535880,6.075999,8.47,8.8,8.33,8.67,19049816,8.67,4.39,4.5,4.36,4.45,32723672,4.307066,4.96,5.09,4.82,4.94,84854038,4.933601,7.52,7.98,7.2,7.67,20499801,7.615365,12.44,12.44,11.8,12,5280318,12
"2019-03-13",5.44,5.44,5.18,5.21,24574166,5.21,9.67,9.72,9.45,9.55,5464974,8.689315,10.1109,10.4798,9.99125,10.1707,20077452,9.896188,5.1,5.28,4.82,4.98,85937607,4.833529,25,25.200001,23.92,24.26,13477934,24.26,9.62,9.63,9.26,9.31,4792680,8.76894,14.6,14.6,14.6,14.6,0,14.6,50.799999,51,49,49.27,2236755,48.48579,22.700001,22.700001,21.92,22.02,86107339,21.811609,4.57,4.64,4.54,4.59,8354298,4.491823,8.81,8.84,8.6,8.63,53930760,8.611754,5.86,6.05,5.8,5.89,78941130,5.89,7.75,8.38,7.75,8.05,46786623,7.978866,7.08,7.2,6.9,6.91,10962775,6.865419,5.47,5.58,5.3,5.32,37608560,5.305718,3.36,3.41,3.31,3.33,38132750,3.315807,5.48,5.54,5.28,5.35,73455300,5.092664,33.349998,33.349998,31.540001,31.799999,41785368,31.398216,6.1,6.1,5.75,5.8,27307472,5.8,6.17692,6.19231,6.04615,6.05385,28547498,5.932773,8.53,8.93,8.35,8.55,18105521,8.55,4.43,4.56,4.38,4.45,28492729,4.307066,4.93,4.93,4.69,4.75,66799892,4.743847,7.52,7.57,7.12,7.18,11013000,7.128855,12.02,12.27,11.7,11.83,3452116,11.83
"2019-03-14",5.24,5.31,4.95,5.02,27535393,5.02,9.48,9.55,9.24,9.4,5834400,8.552834,10.0212,10.4101,9.77189,9.98128,11282813,9.711881,4.9,4.9,4.51,4.6,38469059,4.464705,24.01,24.030001,23.42,23.85,7127535,23.85,9.3,9.44,9.11,9.22,3828414,8.684171,14.6,14.6,14.6,14.6,0,14.6,49.130001,54.200001,49.07,54.200001,5437884,53.337322,21.799999,22.040001,21.629999,21.84,45886579,21.633312,4.58,4.63,4.44,4.46,6290746,4.364603,8.59,8.63,8.35,8.36,43361492,8.342325,5.92,6.3,5.9,6.02,102741981,6.02,8.25,8.49,7.9,8.15,36600299,8.077982,6.97,6.98,6.35,6.45,12858409,6.408387,5.3,5.47,5.2,5.27,29859823,5.255852,3.3,3.33,3.17,3.23,30091494,3.216233,5.3,5.44,5.15,5.22,53020768,4.968917,31.6,32.32,31.26,31.940001,29415105,31.536448,5.82,5.95,5.45,5.61,21628121,5.61,6.03846,6.13077,5.92308,6.03077,19385800,5.910154,8.35,8.72,7.89,8.44,17540950,8.44,4.47,4.69,4.32,4.65,40875634,4.500642,4.75,4.83,4.51,4.62,50599431,4.614016,7.11,7.11,6.82,6.86,6796700,6.811134,11.9,11.9,11.39,11.52,2509400,11.52
