"","X","X600478.SS.Open","X600478.SS.High","X600478.SS.Low","X600478.SS.Close","X600478.SS.Volume","X600478.SS.Adjusted","X600478.SS.Close.1","X600479.SS.Open","X600479.SS.High","X600479.SS.Low","X600479.SS.Close","X600479.SS.Volume","X600479.SS.Adjusted","X600479.SS.Close.1","X600480.SS.Open","X600480.SS.High","X600480.SS.Low","X600480.SS.Close","X600480.SS.Volume","X600480.SS.Adjusted","X600480.SS.Close.1","X600481.SS.Open","X600481.SS.High","X600481.SS.Low","X600481.SS.Close","X600481.SS.Volume","X600481.SS.Adjusted","X600481.SS.Close.1","X600482.SS.Open","X600482.SS.High","X600482.SS.Low","X600482.SS.Close","X600482.SS.Volume","X600482.SS.Adjusted","X600482.SS.Close.1","X600483.SS.Open","X600483.SS.High","X600483.SS.Low","X600483.SS.Close","X600483.SS.Volume","X600483.SS.Adjusted","X600483.SS.Close.1","X600485.SS.Open","X600485.SS.High","X600485.SS.Low","X600485.SS.Close","X600485.SS.Volume","X600485.SS.Adjusted","X600485.SS.Close.1","X600486.SS.Open","X600486.SS.High","X600486.SS.Low","X600486.SS.Close","X600486.SS.Volume","X600486.SS.Adjusted","X600486.SS.Close.1","X600487.SS.Open","X600487.SS.High","X600487.SS.Low","X600487.SS.Close","X600487.SS.Volume","X600487.SS.Adjusted","X600487.SS.Close.1","X600488.SS.Open","X600488.SS.High","X600488.SS.Low","X600488.SS.Close","X600488.SS.Volume","X600488.SS.Adjusted","X600488.SS.Close.1","X600489.SS.Open","X600489.SS.High","X600489.SS.Low","X600489.SS.Close","X600489.SS.Volume","X600489.SS.Adjusted","X600489.SS.Close.1","X600490.SS.Open","X600490.SS.High","X600490.SS.Low","X600490.SS.Close","X600490.SS.Volume","X600490.SS.Adjusted","X600490.SS.Close.1","X600491.SS.Open","X600491.SS.High","X600491.SS.Low","X600491.SS.Close","X600491.SS.Volume","X600491.SS.Adjusted","X600491.SS.Close.1","X600493.SS.Open","X600493.SS.High","X600493.SS.Low","X600493.SS.Close","X600493.SS.Volume","X600493.SS.Adjusted","X600493.SS.Close.1","X600495.SS.Open","X600495.SS.High","X600495.SS.Low","X600495.SS.Close","X600495.SS.Volume","X600495.SS.Adjusted","X600495.SS.Close.1","X600496.SS.Open","X600496.SS.High","X600496.SS.Low","X600496.SS.Close","X600496.SS.Volume","X600496.SS.Adjusted","X600496.SS.Close.1","X600497.SS.Open","X600497.SS.High","X600497.SS.Low","X600497.SS.Close","X600497.SS.Volume","X600497.SS.Adjusted","X600497.SS.Close.1","X600498.SS.Open","X600498.SS.High","X600498.SS.Low","X600498.SS.Close","X600498.SS.Volume","X600498.SS.Adjusted","X600498.SS.Close.1","X600500.SS.Open","X600500.SS.High","X600500.SS.Low","X600500.SS.Close","X600500.SS.Volume","X600500.SS.Adjusted","X600499.SS.Open","X600499.SS.High","X600499.SS.Low","X600499.SS.Close","X600499.SS.Volume","X600499.SS.Adjusted","X600499.SS.Close.1","X600500.SS.Close.1","X600501.SS.Open","X600501.SS.High","X600501.SS.Low","X600501.SS.Close","X600501.SS.Volume","X600501.SS.Adjusted","X600501.SS.Close.1","X600502.SS.Open","X600502.SS.High","X600502.SS.Low","X600502.SS.Close","X600502.SS.Volume","X600502.SS.Adjusted","X600502.SS.Close.1","X600503.SS.Open","X600503.SS.High","X600503.SS.Low","X600503.SS.Close","X600503.SS.Volume","X600503.SS.Adjusted","X600503.SS.Close.1","X600505.SS.Open","X600505.SS.High","X600505.SS.Low","X600505.SS.Close","X600505.SS.Volume","X600505.SS.Adjusted","X600505.SS.Close.1","X600506.SS.Open","X600506.SS.High","X600506.SS.Low","X600506.SS.Close","X600506.SS.Volume","X600506.SS.Adjusted","X600506.SS.Close.1"
"1",2020-04-07,3.97,4.03,3.97,4.02,14813685,4.02,-0.117247940588607,8.76,8.89,8.72,8.87,7548431,8.415128,-0.0172835848547549,8.98,9.12,8.85,8.98,8767227,8.98,-0.172211117142382,2.95,2.98,2.95,2.98,3037939,2.98,-0.0549715620238881,NA,NA,NA,NA,NA,NA,NA,8.19,8.28,8.15,8.27,7064844,7.993597,-0.0437276282142749,1.47,1.51,1.46,1.48,37712377,1.48,0.0241387584320941,71,72.660004,70.800003,72.5,4693146,72.5,0.0101463304766054,NA,NA,NA,NA,NA,NA,NA,4.42,4.64,4.4,4.55,13249730,4.509556,-0.127642826948771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,8.13,7.78,8.01,22367997,8.01,0.00635413369218463,5.3,5.43,5.22,5.43,5811200,5.43,0.0151500661417394,4.58,4.74,4.48,4.67,52275384,4.67,0.201816114962334,3.87,4.1,3.86,4.08,69565396,4.08,0.0573771373892538,3.6,3.66,3.58,3.62,34479342,3.498659,-0.0308834185009781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05,4.06,3.98,4.03,28462110,4.03,-0.0416705446926379,3.12,3.15,3.11,3.14,17612711,3.14,-0.0822045628824016,9.06,9.31,9.01,9.3,4965941,9.3,0.0355430634763545,9.8,10.48,9.51,10.27,21293224,10.27,0.170666014111187
"2",2020-04-08,3.99,4.04,3.96,4.03,11507041,4.03,-0.114760378399552,8.86,8.97,8.79,8.91,7089608,8.453076,-0.0127740019911696,8.89,8.97,8.81,8.82,5037459,8.82,-0.190028489080022,2.96,3.01,2.96,2.98,3977937,2.98,-0.0549715620238881,16.73,17.17,16.620001,17.08,6765590,17.08,-0.00317636623706563,8.23,8.26,8.14,8.18,3098878,7.906604,-0.0546103367995228,1.47,1.5,1.44,1.46,33458542,1.46,0.0106252449185806,71.690002,73.559998,71.519997,73.360001,3086809,73.360001,0.0220084132352261,NA,NA,NA,NA,NA,NA,NA,4.52,4.65,4.47,4.59,13990672,4.5492,-0.118851618157563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.02,8.08,7.9,8.05,17229701,8.05,0.0113478914949312,5.38,5.46,5.35,5.4,4925705,5.4,0.0096252042632865,4.62,4.63,4.51,4.56,36654557,4.56,0.178261511107944,4,4.07,3.92,3.96,53384812,3.96,0.0279653726833714,3.6,3.7,3.57,3.64,42454904,3.517989,-0.025358556622525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,9.9,9.1,9.9,32835075,9.9,0.150724176985447,3.97,3.98,3.91,3.97,32513822,3.97,-0.0565588821616205,3.14,3.16,3.11,3.13,13698916,3.13,-0.0853892762581979,9.23,9.67,9.19,9.59,5182400,9.59,0.0667258591752791,10.01,10.36,9.64,9.84,13257506,9.84,0.128796491229006
"3",2020-04-09,4.04,4.12,4.04,4.06,11961336,4.06,-0.107316209665061,8.99,9.15,8.92,9.05,8731111,8.585897,0.00293868038817957,8.9,8.92,8.72,8.76,5070889,8.76,-0.196831210168457,3.07,3.08,3.01,3.03,7988203,3.03,-0.0381930385339552,17.09,17.200001,16.83,16.889999,5458960,16.889999,-0.0143005465649344,8.21,8.22,8.16,8.17,3380200,7.896938,-0.0558328306870532,1.46,1.47,1.43,1.43,28652925,1.43,-0.00992270028689879,73.260002,74.32,72.699997,73.949997,2565662,73.949997,0.0300508885890636,17.299999,17.440001,17.049999,17.200001,46831032,17.200001,-0.00916792805235944,4.61,4.74,4.56,4.67,11966455,4.628489,-0.101422424257781,NA,NA,NA,NA,NA,NA,NA,3.78,3.79,3.7,3.75,19913176,3.75,-0.0673831384641704,8.13,8.23,8.04,8.2,18199871,8.2,0.0299814318676019,5.42,5.45,5.38,5.4,2701916,5.4,0.0096252042632865,4.59,4.66,4.53,4.59,34248828,4.59,0.184840458476365,3.98,4.1,3.97,4.05,45802033,4.05,0.0506926454106441,3.65,3.66,3.6,3.62,25173441,3.498659,-0.0308530621170304,34.52,34.599998,33.759998,33.900002,33046120,33.900002,0.0546553430624223,5.29,5.29,5.21,5.23,8730100,5.23,4.38,4.41,4.33,4.34,7859504,4.34,-0.187357349011429,-0.157920832951019,10.4,10.89,9.77,9.87,59521666,9.87,0.147693873955144,3.98,4.02,3.95,3.96,17559938,3.96,-0.059077773849278,3.15,3.16,3.13,3.14,13775638,3.14,-0.082194388079284,9.6,9.85,9.52,9.78,4891531,9.78,0.0865381636591163,10.13,10.16,9.67,9.8,7199335,9.8,0.1247314505786
"4",2020-04-10,4.08,4.08,3.91,3.93,12223834,3.93,-0.139335914098558,9.11,9.18,8.92,8.94,13808128,8.481538,-0.00921601574441722,8.77,8.99,8.46,8.93,9065573,8.93,-0.177424817474393,3.01,3.04,2.95,2.95,4752424,2.95,-0.0645956787979814,16.799999,17.059999,16.709999,16.799999,4164692,16.799999,-0.0196291436832646,8.17,8.19,8.05,8.05,3174430,7.780949,-0.0705207131839932,1.42,1.5,1.41,1.45,37751957,1.45,0.00406331369911517,74.949997,75.480003,72.279999,72.800003,3371948,72.800003,0.0144999210886864,17.049999,17.200001,16.43,16.5,49519061,16.5,-0.0498656582443519,4.67,4.97,4.67,4.72,23687959,4.678044,-0.090715786142149,NA,NA,NA,NA,NA,NA,NA,3.8,3.83,3.64,3.65,16033200,3.65,-0.0940498051308372,8.2,8.25,7.9,8,14258256,8,0.005591187965163,5.35,5.4,5.2,5.22,3693700,5.22,-0.0237081290700469,4.6,4.61,4.29,4.32,52067423,4.32,0.1260169290646,4.02,4.03,3.85,3.88,40512140,3.88,0.00871733676866882,3.62,3.63,3.53,3.54,27638857,3.421341,-0.0529525096308426,33.580002,33.580002,31.879999,32.23,38219517,32.23,0.00539275009856333,5.23,5.33,5.21,5.25,11610139,5.25,4.39,4.4,4.22,4.25,6529157,4.25,-0.208094676200369,-0.154096741172817,9.48,9.95,9.32,9.33,35370325,9.33,0.0929826277545359,3.96,3.97,3.87,3.91,15870336,3.91,-0.0717040364755406,3.13,3.14,3.05,3.07,14839380,3.07,-0.104487381709857,9.8,9.96,9.63,9.83,6700030,9.83,0.0916506380967441,9.78,9.97,9.32,9.45,7877234,9.45,0.0890171648643138
"5",2020-04-13,3.94,3.94,3.87,3.91,6000774,3.91,-0.144424972622731,8.96,9.3,8.91,9.25,16537984,8.775641,0.0254595994681108,8.77,8.84,8.52,8.76,6911605,8.76,-0.196461771561739,2.94,2.96,2.92,2.94,2707602,2.94,-0.0679855093064561,16.75,16.75,16.5,16.51,3145097,16.51,-0.0368909899488506,8.02,8.11,8.02,8.07,1855483,7.800281,-0.0680362411343037,1.43,1.44,1.38,1.38,38583183,1.38,-0.0442125483698504,73.599998,75.720001,73.099998,74.400002,4039272,74.400002,0.0364779284247575,16.299999,16.42,16.040001,16.15,28291027,16.15,-0.0710777794564732,4.75,5.04,4.72,4.98,31533294,4.935733,-0.0356310403794371,NA,NA,NA,NA,NA,NA,NA,3.63,3.63,3.56,3.59,8813202,3.59,-0.110488161295221,8.04,8.04,7.93,7.98,7758900,7.98,0.00309118796516306,5.19,5.35,5.11,5.27,3386748,5.27,-0.0141295850087444,4.25,4.27,4.16,4.26,21199773,4.26,0.112128040175711,3.85,3.96,3.79,3.88,30377159,3.88,0.00871733676866882,NA,NA,NA,NA,NA,NA,NA,31.799999,32.25,31.07,31.879999,20371510,31.879999,-0.00546672864794595,5.24,5.24,5.14,5.17,8081133,5.17,4.29,4.3,4.21,4.25,4157102,4.25,-0.208094676200369,-0.169334836410912,9.21,9.99,9.05,9.6,31065747,9.6,0.121921534506947,3.89,3.96,3.86,3.94,12170739,3.94,-0.0640314022044408,3.06,3.07,3.04,3.06,7479666,3.06,-0.107744710700085,9.85,9.85,9.56,9.64,3865113,9.64,0.0723220521354013,9.37,9.46,8.9,8.94,6082828,8.94,0.0350489108960598
"6",2020-04-14,3.92,4.04,3.91,4.01,8922046,4.01,-0.118849525052399,9.2,9.3,9.13,9.26,11621224,8.785129,0.0265406805491919,8.79,9.45,8.72,9.31,13999978,9.31,-0.133676383433885,2.92,2.99,2.92,2.98,4085292,2.98,-0.0543800671295853,16.549999,16.66,16.459999,16.6,2779646,16.6,-0.0314397482771366,8.06,8.11,8.05,8.1,2492599,7.829278,-0.0643187690153447,1.4,1.4,1.31,1.33,55974818,1.33,-0.0804444324278213,74.660004,76.559998,74.010002,76.080002,3201882,76.080002,0.059058572979041,16.299999,16.6,16.25,16.6,33104701,16.6,-0.0432140023666898,4.93,4.93,4.7,4.86,23106665,4.8168,-0.0597274259216057,NA,NA,NA,NA,NA,NA,NA,3.64,3.72,3.61,3.71,16432310,3.71,-0.0770619774512097,8.02,8.2,7.92,8.11,11104475,8.11,0.0193819147822055,5.26,5.33,5.22,5.32,3018101,5.32,-0.00464191897458877,4.27,4.37,4.27,4.31,18446577,4.31,0.123865129377589,3.9,3.92,3.83,3.9,28126053,3.9,0.0138719759439265,NA,NA,NA,NA,NA,NA,NA,32.18,32.790001,31.879999,32.790001,24423185,32.790001,0.0230778770153099,5.18,5.29,5.17,5.29,10910045,5.29,4.25,4.34,4.23,4.32,6403437,4.32,-0.191624087965075,-0.146124004689442,9.59,9.9,9.31,9.5,24465101,9.5,0.111504867840281,3.95,3.98,3.91,3.98,14178863,3.98,-0.0538791179404814,3.06,3.11,3.06,3.11,9007444,3.11,-0.0914048414190396,9.72,9.77,9.51,9.61,3328901,9.61,0.0692100189403805,9.01,9.22,8.91,9.08,4059001,9.08,0.0507088661533305
"7",2020-04-15,4.01,4.01,3.88,3.9,12831680,3.9,-0.146280946498783,9.29,9.45,9.21,9.4,16662303,8.917949,0.0416594710459521,9.42,9.75,9.26,9.49,13479109,9.49,-0.114342334024648,2.96,2.99,2.94,2.95,2773192,2.95,-0.064447181223545,16.6,17.1,16.540001,16.68,5086629,16.68,-0.0266204711687029,8.1,8.2,8.06,8.1,2476151,7.829278,-0.0643187690153447,1.33,1.36,1.31,1.33,36007595,1.33,-0.0804444324278213,75.879997,76.400002,74.440002,75.290001,2113455,75.290001,0.0486747535885002,16.690001,16.76,16.34,16.42,36257355,16.42,-0.0540573758606657,4.78,5.1,4.73,5.1,32786964,5.054667,-0.0103447098722232,NA,NA,NA,NA,NA,NA,NA,3.71,3.72,3.64,3.67,12301449,3.67,-0.0878436486102393,8.13,8.17,7.98,8.01,10460300,8.01,0.00705145855532519,5.29,5.38,5.22,5.25,3697461,5.25,-0.0177998137114309,4.34,4.37,4.21,4.22,20914390,4.22,0.102983458843947,3.91,3.91,3.64,3.7,55876718,3.7,-0.0374100753381247,NA,NA,NA,NA,NA,NA,NA,32.509998,33.139999,31.950001,32.07,28931165,32.07,0.00111993318969072,5.3,5.31,5.21,5.23,7706340,5.23,4.34,4.34,4.27,4.27,4762950,4.27,-0.203198162039149,-0.157466159698893,9.53,9.67,9.25,9.3,20139083,9.3,0.0904522362613335,3.97,3.97,3.91,3.94,10871334,3.94,-0.0639293691967628,3.1,3.13,3.07,3.07,9817418,3.07,-0.104266577753445,9.64,9.68,9.49,9.56,2296400,9.56,0.0640071053087469,9.03,9.3,8.96,9.17,4621622,9.17,0.0606207604264583
"8",2020-04-16,3.86,3.92,3.84,3.9,9294387,3.9,-0.146280946498783,9.36,9.43,9.24,9.3,12085880,8.823077,0.0310211731736117,9.47,9.85,9.45,9.8,9008607,9.8,-0.0816763698518342,2.95,2.98,2.93,2.96,2087339,2.96,-0.0610573507150705,16.58,16.889999,16.52,16.76,3481813,16.76,-0.0218243080991584,8.14,8.15,8.07,8.12,3379735,7.848609,-0.0618496332128756,1.31,1.32,1.26,1.26,45541479,1.26,-0.13307601137519,74.779999,75.5,73.910004,75.379997,2664467,75.379997,0.0498700783169459,16.4,16.93,16.129999,16.83,55666907,16.83,-0.0290878265305807,5.07,5.07,4.92,4.97,20355340,4.925822,-0.0358349059506546,NA,NA,NA,NA,NA,NA,NA,3.67,3.76,3.61,3.71,15806989,3.71,-0.0769444660489315,8.05,8.25,7.94,8.19,31880098,8.19,0.0295233686676848,5.18,5.22,5.1,5.11,4671100,5.11,-0.0444664803780975,4.18,4.36,4.13,4.3,25456648,4.3,0.121940804815511,3.67,3.71,3.61,3.7,29622452,3.7,-0.0374100753381247,NA,NA,NA,NA,NA,NA,NA,31.58,32.549999,31.309999,32.119999,26521939,32.119999,0.00267899149963768,5.2,5.23,5.17,5.23,6354189,5.23,4.29,4.33,4.24,4.29,6194800,4.29,-0.198514321289735,-0.157466159698893,9.3,9.42,9.05,9.16,17082913,9.16,0.0753984728204732,3.92,3.97,3.89,3.92,11140758,3.92,-0.0690055113287426,3.08,3.12,3.04,3.1,13394909,3.1,-0.0944945907827607,9.46,9.69,9.43,9.64,2899000,9.64,0.0723753061455669,9.17,9.27,9,9.02,3432402,9.02,0.0442630723130449
"9",2020-04-17,3.92,3.94,3.88,3.89,9361049,3.89,-0.148845049062885,9.34,9.36,9.13,9.17,9962540,8.699743,0.0170426785499558,9.85,9.86,9.51,9.8,12362985,9.8,-0.0816763698518342,2.97,3,2.95,2.98,4735062,2.98,-0.0543005939583137,16.9,17.02,16.709999,16.75,4246355,16.75,-0.0224209668103756,8.14,8.17,8.07,8.08,3583749,7.809947,-0.0667757415872597,1.26,1.32,1.22,1.32,53006925,1.32,-0.0854569637561421,75.379997,76.150002,74.099998,74.610001,2141974,74.610001,0.0396552198578775,16.99,17.190001,16.76,16.82,56900903,16.82,-0.0296820035953459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.68,3.72,3.61,3.62,16916415,3.62,-0.101203226156748,8.2,8.71,8.18,8.61,48430182,8.61,0.0808054199497361,5.13,5.15,5.09,5.11,3265699,5.11,-0.0444664803780975,NA,NA,NA,NA,NA,NA,NA,3.7,3.8,3.67,3.72,29008723,3.72,-0.0320046699327193,NA,NA,NA,NA,NA,NA,NA,32.650002,33.150002,32.290001,32.450001,34219298,32.450001,0.0129530266887421,5.26,5.28,5.22,5.23,8084873,5.23,4.33,4.43,4.31,4.37,9467500,4.37,-0.179866302641716,-0.157466159698893,9.18,9.23,8.9,8.94,15543043,8.94,0.0513810055715648,3.94,4.16,3.91,4.06,39207610,4.06,-0.033291225614457,3.12,3.12,3.07,3.08,10130900,3.08,-0.100946203685987,9.67,9.8,9.62,9.75,3983736,9.75,0.0837860945273096,9.03,9.09,8.77,8.78,4592200,8.78,0.0176555335103842
"10",2020-04-20,3.88,3.93,3.83,3.88,10368230,3.88,-0.151415743150289,9.18,9.29,9.16,9.21,6554734,8.737693,0.0214047287135328,9.73,10.16,9.66,10.09,10020038,10.09,-0.0520845331171403,2.98,3,2.96,3,2932294,3,-0.0475891845623404,16.870001,16.9,16.68,16.77,2655019,16.77,-0.0212269369596294,8.08,8.11,7.86,7.99,3607502,7.722954,-0.0779143554486459,1.35,1.39,1.3,1.39,55265436,1.39,-0.0324266607258391,74.660004,75.290001,74.419998,74.989998,1879360,74.989998,0.0447483306326648,16.92,17.280001,16.77,17.25,50199438,17.25,-0.00411719979035186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61,3.61,3.56,3.58,10193280,3.58,-0.112252949913654,8.79,9.09,8.79,9.07,34890313,9.07,0.134231668497936,5.12,5.14,5.08,5.13,2492407,5.13,-0.0405525860532444,NA,NA,NA,NA,NA,NA,NA,3.76,3.84,3.7,3.75,38134671,3.75,-0.0239401538036871,NA,NA,NA,NA,NA,NA,NA,32.450001,33.099998,32.32,32.98,25718125,32.98,0.0292858150914295,5.25,5.25,5.18,5.21,6733051,5.21,4.4,4.4,4.28,4.3,7213000,4.3,-0.195884609277872,-0.161290251477096,8.91,9.15,8.83,9.04,12522213,9.04,0.0625666878981866,4.06,4.12,4.03,4.06,23962321,4.06,-0.033291225614457,3.09,3.12,3.08,3.1,9788869,3.1,-0.09445269719248,9.74,10.73,9.64,10.73,14781666,10.73,0.18429891504013,8.75,8.92,8.72,8.81,3388232,8.81,0.0210723900024116
