,600478.SS.Open,600478.SS.High,600478.SS.Low,600478.SS.Close,600478.SS.Volume,600478.SS.Adjusted,600479.SS.Open,600479.SS.High,600479.SS.Low,600479.SS.Close,600479.SS.Volume,600479.SS.Adjusted,600480.SS.Open,600480.SS.High,600480.SS.Low,600480.SS.Close,600480.SS.Volume,600480.SS.Adjusted,600481.SS.Open,600481.SS.High,600481.SS.Low,600481.SS.Close,600481.SS.Volume,600481.SS.Adjusted,600482.SS.Open,600482.SS.High,600482.SS.Low,600482.SS.Close,600482.SS.Volume,600482.SS.Adjusted,600483.SS.Open,600483.SS.High,600483.SS.Low,600483.SS.Close,600483.SS.Volume,600483.SS.Adjusted,600485.SS.Open,600485.SS.High,600485.SS.Low,600485.SS.Close,600485.SS.Volume,600485.SS.Adjusted,600486.SS.Open,600486.SS.High,600486.SS.Low,600486.SS.Close,600486.SS.Volume,600486.SS.Adjusted,600487.SS.Open,600487.SS.High,600487.SS.Low,600487.SS.Close,600487.SS.Volume,600487.SS.Adjusted,600488.SS.Open,600488.SS.High,600488.SS.Low,600488.SS.Close,600488.SS.Volume,600488.SS.Adjusted,600489.SS.Open,600489.SS.High,600489.SS.Low,600489.SS.Close,600489.SS.Volume,600489.SS.Adjusted,600490.SS.Open,600490.SS.High,600490.SS.Low,600490.SS.Close,600490.SS.Volume,600490.SS.Adjusted,600491.SS.Open,600491.SS.High,600491.SS.Low,600491.SS.Close,600491.SS.Volume,600491.SS.Adjusted,600493.SS.Open,600493.SS.High,600493.SS.Low,600493.SS.Close,600493.SS.Volume,600493.SS.Adjusted,600495.SS.Open,600495.SS.High,600495.SS.Low,600495.SS.Close,600495.SS.Volume,600495.SS.Adjusted,600496.SS.Open,600496.SS.High,600496.SS.Low,600496.SS.Close,600496.SS.Volume,600496.SS.Adjusted,600497.SS.Open,600497.SS.High,600497.SS.Low,600497.SS.Close,600497.SS.Volume,600497.SS.Adjusted,600498.SS.Open,600498.SS.High,600498.SS.Low,600498.SS.Close,600498.SS.Volume,600498.SS.Adjusted,600499.SS.Open,600499.SS.High,600499.SS.Low,600499.SS.Close,600499.SS.Volume,600499.SS.Adjusted,600500.SS.Open,600500.SS.High,600500.SS.Low,600500.SS.Close,600500.SS.Volume,600500.SS.Adjusted,600501.SS.Open,600501.SS.High,600501.SS.Low,600501.SS.Close,600501.SS.Volume,600501.SS.Adjusted,600502.SS.Open,600502.SS.High,600502.SS.Low,600502.SS.Close,600502.SS.Volume,600502.SS.Adjusted,600503.SS.Open,600503.SS.High,600503.SS.Low,600503.SS.Close,600503.SS.Volume,600503.SS.Adjusted,600505.SS.Open,600505.SS.High,600505.SS.Low,600505.SS.Close,600505.SS.Volume,600505.SS.Adjusted,600506.SS.Open,600506.SS.High,600506.SS.Low,600506.SS.Close,600506.SS.Volume,600506.SS.Adjusted
2018/3/1,6.11,6.27,6.06,6.2,8239029,6.2,12.3583,12.575,12.3417,12.5583,3559917,11.197354,13.551,13.8701,13.4812,13.8402,4366026,13.151804,3.88,4.28,3.88,4.18,23730200,3.989666,25.5,25.83,25.33,25.6,7077989,25.3151,6.87,7.03,6.87,7.01,3225061,6.444271,14.6,14.6,14.6,14.6,0,14.6,51.779999,53.099998,51.610001,52.790001,1384866,51.470016,27.628599,28.257099,27.5357,27.992901,33177922,27.578758,4.38,4.47,4.38,4.46,1487855,4.329686,8.6,8.69,8.58,8.67,15337072,8.612164,9.45,9.45,9.45,9.45,0,9.45,10.07,10.25,9.96,10.17,7219351,10.026919,7.16,7.26,7.14,7.22,1648800,7.138313,5.36,5.41,5.31,5.4,6883314,5.371972,3.58,3.63,3.56,3.63,8042843,3.614528,6.95,7.06,6.9,6.97,53394210,6.603198,28.1,29.700001,28.02,29.15,14016674,28.449413,10.18,10.28,10.06,10.17,26018316,10.105223,5.83846,5.9,5.76923,5.88461,14813346,5.68211,9.23,9.42,9.13,9.37,4378763,9.37,5.575,5.63333,5.55,5.625,11892770,5.389332,5.82,5.93,5.78,5.9,14916130,5.884725,6.22,6.33,6.22,6.29,750132,6.197883,14.86,15.15,14.7,14.94,2102888,14.94
2018/3/2,6.14,6.31,6.13,6.24,9076211,6.24,12.4,12.4917,12.2917,12.3083,3275272,10.974446,13.7205,14.0895,13.7205,13.9,5735924,13.208629,4.18,4.24,4.12,4.21,11953520,4.0183,25.5,26,25.360001,25.540001,6367606,25.255768,7.02,7.07,6.95,7.03,2942136,6.462657,14.6,14.6,14.6,14.6,0,14.6,52.560001,52.560001,51.43,51.549999,1095177,50.261021,27.75,28.4286,27.507099,27.621401,30834263,27.212753,4.47,4.55,4.47,4.5,3225155,4.368517,8.66,8.86,8.66,8.8,31740154,8.741299,9.45,9.45,9.45,9.45,0,9.45,10.08,10.34,10.08,10.22,5383606,10.076216,7.18,7.27,7.18,7.24,1385200,7.158087,5.38,5.42,5.34,5.38,5599022,5.352076,3.6,3.63,3.59,3.6,6836700,3.584656,6.88,6.94,6.78,6.79,50670877,6.432671,29.02,29.370001,28.48,28.889999,10627414,28.195662,10.11,10.47,10.07,10.23,26264379,10.164841,5.84615,5.86923,5.76154,5.76923,12188861,5.5707,9.22,9.44,9.19,9.34,3603200,9.34,5.58333,5.625,5.56667,5.61667,6384204,5.381351,5.83,5.92,5.83,5.83,9746672,5.814906,6.26,6.36,6.26,6.29,790500,6.197883,14.5,15.3,14.5,15.24,3750400,15.24
2018/3/5,6.29,6.29,6.14,6.21,5346328,6.21,12.3167,12.4083,12.2167,12.2583,2272249,10.929864,13.9598,14.0795,13.7704,13.8801,3023374,13.18972,4.21,4.23,4.1,4.13,6455814,3.941942,25.73,26.17,25.41,25.83,8475820,25.54254,7.02,7.18,7.02,7.11,2955725,6.536201,14.6,14.6,14.6,14.6,0,14.6,51.77,51.82,49.5,50.5,2137729,49.237274,27.7714,28.2071,27.4571,27.6786,23435903,27.269108,4.53,4.53,4.44,4.46,1680503,4.329686,8.8,8.84,8.73,8.8,17003707,8.741299,9.45,9.45,9.45,9.45,0,9.45,10.22,10.39,9.91,10,9783229,9.859311,7.2,7.25,7.09,7.18,1439049,7.098765,5.39,5.42,5.34,5.39,4485960,5.362024,3.6,3.62,3.57,3.59,5828412,3.574698,6.84,6.85,6.59,6.67,50925252,6.318986,28.870001,29.34,28.33,29.25,9191303,28.54701,10.17,10.28,10.1,10.23,17374404,10.164841,5.76923,5.81538,5.75385,5.8,6278924,5.600412,9.43,9.67,9.32,9.36,2859375,9.36,5.60833,5.64167,5.55,5.58333,6517172,5.349408,5.81,5.88,5.75,5.79,10022710,5.77501,6.29,6.35,6.25,6.33,591535,6.237297,15.18,15.23,14.9,15.13,2184161,15.13
2018/3/6,6.21,6.23,6.15,6.23,5479436,6.23,12.275,12.8917,12.275,12.8333,9015474,11.442552,13.8801,14.0396,13.6806,13.9299,5575608,13.237042,4.13,4.23,4.12,4.16,5475900,3.970576,25.68,25.799999,25.200001,25.23,10312690,24.949215,7.12,7.13,7.05,7.12,2164923,6.545393,14.6,14.6,14.6,14.6,0,14.6,50.450001,51.830002,49,51.779999,1688547,50.485268,27.7143,28.4286,27.7143,28.342899,38513224,27.92358,4.45,4.5,4.45,4.5,2011102,4.368517,8.78,8.82,8.7,8.82,21520623,8.761164,9.45,9.45,9.45,9.45,0,9.45,10.05,10.25,10.05,10.2,8775484,10.056497,7.12,7.31,7.12,7.29,1934901,7.207521,5.38,5.47,5.38,5.47,7379040,5.441608,3.59,3.68,3.59,3.67,13430190,3.654357,6.67,6.91,6.56,6.88,78617706,6.517935,29.309999,29.889999,28.85,29.549999,12822640,28.8398,10.26,10.37,10.12,10.36,25051316,10.294013,5.83077,5.91538,5.78462,5.9,12449347,5.69697,9.42,9.45,9.31,9.4,2904939,9.4,5.59167,5.64167,5.55833,5.64167,9596050,5.405304,5.8,5.88,5.79,5.87,10677661,5.854803,6.34,6.42,6.29,6.41,768660,6.316125,15.12,15.42,14.96,15.35,3010031,15.35
2018/3/7,6.24,6.24,6.09,6.09,4995090,6.09,12.7583,12.9167,12.6417,12.725,5146926,11.345988,13.8601,13.9598,13.6806,13.7006,4139072,13.019147,4.16,4.16,4.1,4.1,3752100,3.913308,25.290001,25.389999,24.73,24.799999,6745048,24.524,7.14,7.25,7.08,7.11,3924394,6.536201,14.6,14.6,14.6,14.6,0,14.6,52,53.380001,50.900002,51.189999,1596679,49.910023,28.2857,28.2857,27.3571,27.371401,38453242,26.966454,4.51,4.51,4.45,4.47,1600486,4.339394,8.89,8.94,8.8,8.81,25703090,8.751232,9.45,9.45,9.45,9.45,0,9.45,10.29,10.29,10.04,10.08,3949134,9.938185,7.3,7.38,7.21,7.34,2229801,7.256956,5.47,5.47,5.35,5.37,6925540,5.342127,3.65,3.69,3.62,3.62,9124540,3.60457,6.87,6.87,6.66,6.7,49351564,6.347407,29.43,29.440001,28.82,28.889999,7404317,28.195662,10.35,10.41,9.98,10.01,28271916,9.946242,5.91538,5.95385,5.82308,5.83077,10010651,5.630123,9.3,9.43,9.26,9.36,2487649,9.36,5.65,5.65833,5.56667,5.56667,9239662,5.333446,5.85,5.9,5.8,5.81,9307539,5.794958,6.38,6.6,6.34,6.5,1670365,6.404807,15.26,15.49,15.11,15.16,2002632,15.16
2018/3/8,6.06,6.16,6.06,6.12,3730347,6.12,12.7417,12.8917,12.65,12.8583,4368980,11.464843,13.6707,14.3188,13.6308,14.239,9910211,13.530768,4.12,4.12,4.06,4.09,3319080,3.903764,24.84,25.139999,24.65,25.110001,4618044,24.830553,7.11,7.25,7.11,7.15,3116959,6.572972,14.6,14.6,14.6,14.6,0,14.6,51.279999,52.279999,50.509998,51.310001,1272563,50.027023,27.371401,27.778601,27.3643,27.6,18123401,27.191671,4.47,4.56,4.45,4.55,2841102,4.417057,8.76,8.88,8.72,8.84,16822141,8.781031,10,10.28,9.45,9.5,117150186,9.5,10.1,10.2,10,10.15,6490198,10.0072,7.32,7.57,7.28,7.46,3066211,7.375597,5.38,5.41,5.35,5.4,3991214,5.371972,3.63,3.75,3.62,3.74,26264697,3.724059,6.66,6.82,6.66,6.74,33330151,6.385302,28.860001,29.16,28.5,28.74,5678389,28.049267,10,10.08,9.83,9.96,19509085,9.896561,5.80769,5.85385,5.77692,5.83846,6703226,5.637548,9.35,9.42,9.29,9.39,2431557,9.39,5.56667,5.6,5.55,5.59167,7810413,5.357399,5.81,5.85,5.78,5.82,7743486,5.804932,6.51,6.56,6.42,6.48,836100,6.3851,15.25,15.25,14.9,15.09,1911778,15.09
2018/3/9,6.11,6.25,6.1,6.24,7184707,6.24,12.9,13.075,12.775,13.0083,6201720,11.598586,14.1593,14.4085,14.0695,14.3387,8502053,13.625508,4.08,4.15,4.06,4.14,4297513,3.951487,25.08,25.26,24.93,25.129999,6352815,24.850328,7.2,7.25,7.16,7.2,2605704,6.618937,14.6,14.6,14.6,14.6,0,14.6,51.27,52.790001,51.27,52.759998,1435370,51.440762,27.742901,28.8286,27.7286,28.700001,52836660,28.275398,4.55,4.59,4.5,4.57,2619850,4.436472,8.77,8.81,8.71,8.8,19348589,8.741299,9.33,9.53,9.1,9.41,62558549,9.41,10.19,10.36,10.1,10.2,7274900,10.056497,7.42,7.54,7.37,7.48,1529200,7.395371,5.4,5.5,5.38,5.46,8515371,5.43166,3.75,3.94,3.68,3.82,30218601,3.803718,6.66,6.75,6.65,6.73,36726638,6.375828,28.700001,29.860001,28.700001,29.76,10870982,29.044752,9.99,10.09,9.93,10.05,20625063,9.985988,5.85385,5.91538,5.81538,5.90769,11403134,5.704396,9.38,9.78,9.32,9.67,4900746,9.67,5.58333,5.63333,5.58333,5.625,9027444,5.389332,5.83,5.94,5.82,5.93,17029876,5.914647,6.49,6.53,6.42,6.51,961700,6.41466,15.13,15.14,14.86,15.09,2136400,15.09
2018/3/12,6.27,6.4,6.25,6.35,9481958,6.35,13.0167,13.2333,12.9417,13.0167,6540986,11.606076,14.3986,14.4484,14.2789,14.3986,5468038,13.682429,4.13,4.2,4.12,4.19,7180102,3.999211,25.18,25.35,25.049999,25.32,7166878,25.038214,7.18,7.34,7.18,7.32,3678651,6.729253,14.6,14.6,14.6,14.6,0,14.6,52.959999,54.619999,52.400002,54.27,4368857,52.91301,28.907101,29.200001,28.700001,29.0714,37044161,28.641302,4.56,4.63,4.53,4.6,2750695,4.465596,8.79,8.87,8.76,8.85,23859421,8.790964,9.5,10.19,9.37,9.92,90828732,9.92,10.21,10.32,10.12,10.24,7103917,10.095934,7.48,8.06,7.46,7.9,5679325,7.810619,5.46,5.57,5.45,5.56,10515415,5.531141,3.78,3.82,3.76,3.8,17710291,3.783803,6.78,6.87,6.74,6.85,56232702,6.489513,29.91,30.290001,29.540001,30.030001,10676154,29.308266,10.08,10.64,10.04,10.51,58347794,10.443058,5.90769,6.01538,5.90769,5.98461,16460206,5.778668,9.61,9.88,9.61,9.85,3757695,9.85,5.63333,5.69167,5.63333,5.675,11379986,5.437237,5.94,6.03,5.93,6,17530845,5.984466,6.51,6.55,6.48,6.55,912600,6.454075,15.01,15.48,14.91,15.41,3112446,15.41
2018/3/13,6.39,6.4,6.26,6.33,10374105,6.33,13.025,13.0333,12.6833,12.7083,6124957,11.331098,14.3487,14.5481,14.2091,14.249,5076072,13.54027,4.2,4.29,4.17,4.2,9803748,4.008755,25.389999,25.65,24.9,24.969999,8069716,24.69211,7.29,7.37,7.25,7.29,2352800,6.701674,14.6,14.6,14.6,14.6,0,14.6,53.900002,54.27,53.209999,53.619999,1289125,52.279263,28.9286,28.985701,28.3643,28.4786,25526390,28.05727,4.58,4.62,4.55,4.57,2201100,4.436472,8.85,8.91,8.82,8.87,21890990,8.81083,9.88,10.72,9.8,10.3,95211591,10.3,10.23,10.3,10.07,10.1,6779700,9.957904,7.83,7.85,7.7,7.75,2942925,7.662316,5.6,5.62,5.5,5.52,7614861,5.491349,3.78,3.79,3.73,3.73,13549200,3.714102,6.81,6.84,6.77,6.79,32170948,6.432671,30,30,29,29.209999,8261938,28.507971,10.45,10.77,10.42,10.48,47178029,10.413248,5.96154,6.06923,5.94615,6.00769,13919393,5.800955,9.86,9.91,9.7,9.82,3226433,9.82,5.675,5.675,5.59167,5.60833,10303911,5.37336,6.01,6.09,5.96,5.99,18557080,5.974492,6.53,6.58,6.47,6.51,819401,6.41466,15.38,15.89,15.11,15.16,4103086,15.16
2018/3/14,6.28,6.58,6.26,6.32,12172834,6.32,12.7,12.8333,12.55,12.6,3875694,11.234535,14.1892,14.1892,13.8801,13.89,5077192,13.199126,4.2,4.2,4.13,4.14,4404116,3.951487,25,25,24.389999,24.41,6491191,24.138342,7.26,7.4,7.26,7.33,2092819,6.738445,14.6,14.6,14.6,14.6,0,14.6,53.080002,55,53.080002,54.630001,1716408,53.264008,28.264299,28.7071,28.2286,28.242901,19383649,27.82506,4.53,4.58,4.51,4.52,1603988,4.387933,8.91,8.93,8.85,8.87,20943813,8.81083,10.2,10.58,10.01,10.08,85152336,10.08,10.11,10.17,10.06,10.12,3974602,9.977623,7.72,7.72,7.65,7.68,1938281,7.593109,5.5,5.51,5.41,5.43,7021324,5.401816,3.74,3.75,3.68,3.69,9221800,3.674272,6.81,7,6.81,6.9,68160441,6.536882,29.08,29.200001,28.65,28.66,5692081,27.971191,10.52,10.73,10.42,10.43,34894640,10.363567,5.99231,6.03846,5.91538,5.93846,9388771,5.734107,9.78,9.85,9.71,9.77,3074339,9.77,5.6,5.625,5.575,5.6,7449433,5.365379,5.96,6.07,5.95,5.97,14908908,5.954544,6.44,6.52,6.4,6.41,940541,6.316125,15.1,15.18,14.71,14.84,2627122,14.84
